Year,County_of_Residence,County_of_Residence_FIPS,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks
2018-01-01,"Calhoun County, AL",1015,1265,26.67,38.11,38.25,"3,168.14",28.85,10.45
2018-01-01,"Tulsa County, OK",40143,8933,28.13,38.18,38.25,"3,243.39",27.58,11.04
2018-01-01,"Carroll County, GA",13045,1540,27.2,38.5,38.5,"3,253.35",27.98,10.75
2018-01-01,"Saginaw County, MI",26145,2182,27.41,38.75,38.5,"3,226.90",28.85,11.58
2018-01-01,"Hillsborough County, FL",12057,17126,28.97,38.41,38.5,"3,230.36",26.75,10.64
2018-01-01,"Lake County, IN",18089,5785,28.12,38.41,38.5,"3,243.64",28.19,10.72
2018-01-01,"St. Tammany Parish, LA",22103,2932,29.12,38.31,38.5,"3,263.36",27,11.29
2018-01-01,"Osceola County, FL",12097,4437,28.64,38.3,38.5,"3,231.13",27.08,11.4
2018-01-01,"Sarpy County, NE",31153,2386,29.43,38.3,38.5,"3,344.03",26.98,12.4
2018-01-01,"Kane County, IL",17089,6337,29.63,38.29,38.5,"3,288.64",27.56,11.43
2018-01-01,"San Juan County, NM",35045,1444,27.5,38.62,38.5,"3,236.43",28.31,9.67
2018-01-01,"Douglas County, KS",20045,1116,29.43,38.44,38.5,"3,277.79",27.26,11.73
2018-01-01,"Denton County, TX",48121,9857,30.03,38.44,38.5,"3,291.52",26.38,10.85
2018-01-01,"Hays County, TX",48209,2572,29.41,38.35,38.5,"3,307.68",27.08,10.98
2018-01-01,"Davis County, UT",49011,5302,29.18,38.34,38.5,"3,277.75",26.28,11.4
2018-01-01,"Manatee County, FL",12081,3452,28.56,38.5,38.75,"3,293.64",27.28,11.04
2018-01-01,"New Haven County, CT",9009,8519,30.06,38.57,38.75,"3,280.80",27.47,13.18
2018-01-01,"San Mateo County, CA",6081,8330,32.38,38.65,38.75,"3,292.79",25.1,11.57
2018-01-01,"San Luis Obispo County, CA",6079,2445,30.08,38.64,38.75,"3,354.12",26.48,12.84
2018-01-01,"Canyon County, ID",16027,2918,27.71,38.47,38.75,"3,302.05",27.78,10.79
2018-01-01,"Cherokee County, GA",13057,2562,29.75,38.46,38.75,"3,319.59",26.94,11.79
2018-01-01,"Stanislaus County, CA",6099,7364,28.52,38.6,38.75,"3,334.05",28.31,13.14
2018-01-01,"Monterey County, CA",6053,5895,28.87,38.68,38.75,"3,318.25",27.98,12.25
